Variable,Description,Data Source,Response Level,N (%)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V5V,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V5Y,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6A,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6C,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6G,3 (0.4)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6K,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6P,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6R,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6T,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6X,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6Y,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V6Z,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V7A,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V7E,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V7H,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V7J,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V7M,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V7P,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8G,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8K,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8M,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8N,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8R,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8S,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8T,3 (0.4)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8V,8 (1.0)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8W,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V8Z,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9A,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9B,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9C,3 (0.4)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9E,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9R,4 (0.5)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9S,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9T,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9V,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9W,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9Y,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,V9Z,2 (0.2)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,X0A,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,X0E,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,X0G,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,X1A,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,Y0B,1 (0.1)
FSA,What is your postal code? Note: We use this data so we can understand the composition of your neighborhood better using data from the Canadian Census.,Canadian Social Connection Survey,Y1A,1 (0.1)
housing_cost,"How much do you pay for housing each month? Note: Please Include rent or mortgage payments, strata fees, insurance payments, and, if applicable, property taxes.",Canadian Social Connection Survey,,1124.01 (1098.28)
money_never_have,"How well do each of the statements describe you? - Because of my money situation, I feel like I will never have the things I want in life.",Canadian Social Connection Survey,Completely,137 (11.5)
money_never_have,"How well do each of the statements describe you? - Because of my money situation, I feel like I will never have the things I want in life.",Canadian Social Connection Survey,Not at all,149 (12.5)
money_never_have,"How well do each of the statements describe you? - Because of my money situation, I feel like I will never have the things I want in life.",Canadian Social Connection Survey,Somewhat,396 (33.1)
money_never_have,"How well do each of the statements describe you? - Because of my money situation, I feel like I will never have the things I want in life.",Canadian Social Connection Survey,Very Little,186 (15.6)
money_never_have,"How well do each of the statements describe you? - Because of my money situation, I feel like I will never have the things I want in life.",Canadian Social Connection Survey,Very Well,327 (27.4)
money_fetting_by,How well do each of the statements describe you? - I am just getting by financially.,Canadian Social Connection Survey,Completely,147 (12.4)
money_fetting_by,How well do each of the statements describe you? - I am just getting by financially.,Canadian Social Connection Survey,Not at all,127 (10.7)
money_fetting_by,How well do each of the statements describe you? - I am just getting by financially.,Canadian Social Connection Survey,Somewhat,449 (37.7)
money_fetting_by,How well do each of the statements describe you? - I am just getting by financially.,Canadian Social Connection Survey,Very Little,155 (13.0)
money_fetting_by,How well do each of the statements describe you? - I am just getting by financially.,Canadian Social Connection Survey,Very Well,312 (26.2)
money_concerned,How well do each of the statements describe you? - I am concerned that the money I have or will save won t last.,Canadian Social Connection Survey,Completely,174 (14.6)
money_concerned,How well do each of the statements describe you? - I am concerned that the money I have or will save won t last.,Canadian Social Connection Survey,Not at all,106 (8.9)
money_concerned,How well do each of the statements describe you? - I am concerned that the money I have or will save won t last.,Canadian Social Connection Survey,Somewhat,405 (34.0)
money_concerned,How well do each of the statements describe you? - I am concerned that the money I have or will save won t last.,Canadian Social Connection Survey,Very Little,204 (17.1)
money_concerned,How well do each of the statements describe you? - I am concerned that the money I have or will save won t last.,Canadian Social Connection Survey,Very Well,303 (25.4)
work_dignity,How well do each of the statements describe you? - I feel that I am treated with dignity and respect in my workplace.,Canadian Social Connection Survey,8888:Not Working During COVID,403 (30.2)
work_dignity,How well do each of the statements describe you? - I feel that I am treated with dignity and respect in my workplace.,Canadian Social Connection Survey,Completely,159 (11.9)
work_dignity,How well do each of the statements describe you? - I feel that I am treated with dignity and respect in my workplace.,Canadian Social Connection Survey,Not at all,27 (2.0)
work_dignity,How well do each of the statements describe you? - I feel that I am treated with dignity and respect in my workplace.,Canadian Social Connection Survey,Somewhat,284 (21.3)
work_dignity,How well do each of the statements describe you? - I feel that I am treated with dignity and respect in my workplace.,Canadian Social Connection Survey,Very Little,112 (8.4)
work_dignity,How well do each of the statements describe you? - I feel that I am treated with dignity and respect in my workplace.,Canadian Social Connection Survey,Very Well,350 (26.2)
work_control,How well do each of the statements describe you? - I have a lot of control over how I do my work.,Canadian Social Connection Survey,8888:Not Working During COVID,403 (30.2)
work_control,How well do each of the statements describe you? - I have a lot of control over how I do my work.,Canadian Social Connection Survey,Completely,144 (10.8)
work_control,How well do each of the statements describe you? - I have a lot of control over how I do my work.,Canadian Social Connection Survey,Not at all,26 (1.9)
work_control,How well do each of the statements describe you? - I have a lot of control over how I do my work.,Canadian Social Connection Survey,Somewhat,318 (23.8)
work_control,How well do each of the statements describe you? - I have a lot of control over how I do my work.,Canadian Social Connection Survey,Very Little,105 (7.9)
work_control,How well do each of the statements describe you? - I have a lot of control over how I do my work.,Canadian Social Connection Survey,Very Well,338 (25.3)
work_paid_enough,How well do each of the statements describe you? - I am getting paid enough for the work I do.,Canadian Social Connection Survey,8888:Not Working During COVID,403 (30.2)
work_paid_enough,How well do each of the statements describe you? - I am getting paid enough for the work I do.,Canadian Social Connection Survey,Completely,119 (8.9)
work_paid_enough,How well do each of the statements describe you? - I am getting paid enough for the work I do.,Canadian Social Connection Survey,Not at all,42 (3.1)
work_paid_enough,How well do each of the statements describe you? - I am getting paid enough for the work I do.,Canadian Social Connection Survey,Somewhat,323 (24.2)
work_paid_enough,How well do each of the statements describe you? - I am getting paid enough for the work I do.,Canadian Social Connection Survey,Very Little,108 (8.1)
work_paid_enough,How well do each of the statements describe you? - I am getting paid enough for the work I do.,Canadian Social Connection Survey,Very Well,341 (25.5)
work_appreciated,How well do each of the statements describe you? - I am appreciated for the work I do.,Canadian Social Connection Survey,8888:Not Working During COVID,403 (30.2)
work_appreciated,How well do each of the statements describe you? - I am appreciated for the work I do.,Canadian Social Connection Survey,Completely,164 (12.3)
work_appreciated,How well do each of the statements describe you? - I am appreciated for the work I do.,Canadian Social Connection Survey,Not at all,26 (1.9)
work_appreciated,How well do each of the statements describe you? - I am appreciated for the work I do.,Canadian Social Connection Survey,Somewhat,318 (23.8)
work_appreciated,How well do each of the statements describe you? - I am appreciated for the work I do.,Canadian Social Connection Survey,Very Little,75 (5.6)
work_appreciated,How well do each of the statements describe you? - I am appreciated for the work I do.,Canadian Social Connection Survey,Very Well,348 (26.1)
work_support,How well do each of the statements describe you? - I feel supported by my co-workers.,Canadian Social Connection Survey,8888:Not Working During COVID,403 (30.2)
work_support,How well do each of the statements describe you? - I feel supported by my co-workers.,Canadian Social Connection Survey,Completely,152 (11.4)
work_support,How well do each of the statements describe you? - I feel supported by my co-workers.,Canadian Social Connection Survey,Not at all,12 (0.9)
work_support,How well do each of the statements describe you? - I feel supported by my co-workers.,Canadian Social Connection Survey,Somewhat,313 (23.4)
work_support,How well do each of the statements describe you? - I feel supported by my co-workers.,Canadian Social Connection Survey,Very Little,101 (7.6)
work_support,How well do each of the statements describe you? - I feel supported by my co-workers.,Canadian Social Connection Survey,Very Well,354 (26.5)
work_fair,How well do each of the statements describe you? - I feel my workplace is fair.,Canadian Social Connection Survey,8888:Not Working During COVID,403 (30.2)
work_fair,How well do each of the statements describe you? - I feel my workplace is fair.,Canadian Social Connection Survey,Completely,144 (10.8)
work_fair,How well do each of the statements describe you? - I feel my workplace is fair.,Canadian Social Connection Survey,Not at all,16 (1.2)
work_fair,How well do each of the statements describe you? - I feel my workplace is fair.,Canadian Social Connection Survey,Somewhat,299 (22.4)
work_fair,How well do each of the statements describe you? - I feel my workplace is fair.,Canadian Social Connection Survey,Very Little,104 (7.8)
work_fair,How well do each of the statements describe you? - I feel my workplace is fair.,Canadian Social Connection Survey,Very Well,369 (27.6)
work_unsustainable,How well do each of the statements describe you? - I feel that my work-load is unsustainable.,Canadian Social Connection Survey,8888:Not Working During COVID,403 (30.2)
work_unsustainable,How well do each of the statements describe you? - I feel that my work-load is unsustainable.,Canadian Social Connection Survey,Completely,79 (5.9)
work_unsustainable,How well do each of the statements describe you? - I feel that my work-load is unsustainable.,Canadian Social Connection Survey,Not at all,71 (5.3)
work_unsustainable,How well do each of the statements describe you? - I feel that my work-load is unsustainable.,Canadian Social Connection Survey,Somewhat,354 (26.5)
work_unsustainable,How well do each of the statements describe you? - I feel that my work-load is unsustainable.,Canadian Social Connection Survey,Very Little,165 (12.4)
work_unsustainable,How well do each of the statements describe you? - I feel that my work-load is unsustainable.,Canadian Social Connection Survey,Very Well,264 (19.8)
money_left_over,How frequent are each of the statements below true for you? - I have money left over at the end of the month.,Canadian Social Connection Survey,Always,231 (19.3)
money_left_over,How frequent are each of the statements below true for you? - I have money left over at the end of the month.,Canadian Social Connection Survey,Never,82 (6.9)
money_left_over,How frequent are each of the statements below true for you? - I have money left over at the end of the month.,Canadian Social Connection Survey,Often,334 (27.9)
money_left_over,How frequent are each of the statements below true for you? - I have money left over at the end of the month.,Canadian Social Connection Survey,Rarely,154 (12.9)
money_left_over,How frequent are each of the statements below true for you? - I have money left over at the end of the month.,Canadian Social Connection Survey,Sometimes,395 (33.0)
money_finances_control,How frequent are each of the statements below true for you? - My finances control my life.,Canadian Social Connection Survey,Always,170 (14.2)
money_finances_control,How frequent are each of the statements below true for you? - My finances control my life.,Canadian Social Connection Survey,Never,83 (6.9)
money_finances_control,How frequent are each of the statements below true for you? - My finances control my life.,Canadian Social Connection Survey,Often,336 (28.1)
money_finances_control,How frequent are each of the statements below true for you? - My finances control my life.,Canadian Social Connection Survey,Rarely,179 (15.0)
money_finances_control,How frequent are each of the statements below true for you? - My finances control my life.,Canadian Social Connection Survey,Sometimes,428 (35.8)
work_quitting,How frequent are each of the statements below true for you? - I think about quitting my job.,Canadian Social Connection Survey,8888:Not Working During COVID,403 (30.1)
work_quitting,How frequent are each of the statements below true for you? - I think about quitting my job.,Canadian Social Connection Survey,Always,59 (4.4)
work_quitting,How frequent are each of the statements below true for you? - I think about quitting my job.,Canadian Social Connection Survey,Never,181 (13.5)
work_quitting,How frequent are each of the statements below true for you? - I think about quitting my job.,Canadian Social Connection Survey,Often,178 (13.3)
work_quitting,How frequent are each of the statements below true for you? - I think about quitting my job.,Canadian Social Connection Survey,Rarely,241 (18.0)
work_quitting,How frequent are each of the statements below true for you? - I think about quitting my job.,Canadian Social Connection Survey,Sometimes,278 (20.7)
work_stress,How frequent are each of the statements below true for you? - I feel stress about my job even when I am not at work.,Canadian Social Connection Survey,8888:Not Working During COVID,403 (30.1)
work_stress,How frequent are each of the statements below true for you? - I feel stress about my job even when I am not at work.,Canadian Social Connection Survey,Always,78 (5.8)
work_stress,How frequent are each of the statements below true for you? - I feel stress about my job even when I am not at work.,Canadian Social Connection Survey,Never,120 (9.0)
work_stress,How frequent are each of the statements below true for you? - I feel stress about my job even when I am not at work.,Canadian Social Connection Survey,Often,197 (14.7)
work_stress,How frequent are each of the statements below true for you? - I feel stress about my job even when I am not at work.,Canadian Social Connection Survey,Rarely,212 (15.9)
work_stress,How frequent are each of the statements below true for you? - I feel stress about my job even when I am not at work.,Canadian Social Connection Survey,Sometimes,327 (24.5)
support_campaign,How likely or unlikely is it that you would -  participate in a movement or campaign that was inspiring Canadians to take action to get connected at a particular time?,Canadian Social Connection Survey,Neither likely or unlikely,590 (24.9)
support_campaign,How likely or unlikely is it that you would -  participate in a movement or campaign that was inspiring Canadians to take action to get connected at a particular time?,Canadian Social Connection Survey,Somewhat likely,949 (40.1)
support_campaign,How likely or unlikely is it that you would -  participate in a movement or campaign that was inspiring Canadians to take action to get connected at a particular time?,Canadian Social Connection Survey,Somewhat unlikely,204 (8.6)
support_campaign,How likely or unlikely is it that you would -  participate in a movement or campaign that was inspiring Canadians to take action to get connected at a particular time?,Canadian Social Connection Survey,Very likely,494 (20.9)
support_campaign,How likely or unlikely is it that you would -  participate in a movement or campaign that was inspiring Canadians to take action to get connected at a particular time?,Canadian Social Connection Survey,Very Unlikely,129 (5.5)
support_funding,"How likely or unlikely is it that you would -  support government funding for programs and promotions that educate Canadians on the importance of human connection to our health, happiness and longevity?",Canadian Social Connection Survey,Neither likely or unlikely,531 (22.4)
support_funding,"How likely or unlikely is it that you would -  support government funding for programs and promotions that educate Canadians on the importance of human connection to our health, happiness and longevity?",Canadian Social Connection Survey,Somewhat likely,876 (37.0)
support_funding,"How likely or unlikely is it that you would -  support government funding for programs and promotions that educate Canadians on the importance of human connection to our health, happiness and longevity?",Canadian Social Connection Survey,Somewhat unlikely,142 (6.0)
support_funding,"How likely or unlikely is it that you would -  support government funding for programs and promotions that educate Canadians on the importance of human connection to our health, happiness and longevity?",Canadian Social Connection Survey,Very likely,712 (30.1)
support_funding,"How likely or unlikely is it that you would -  support government funding for programs and promotions that educate Canadians on the importance of human connection to our health, happiness and longevity?",Canadian Social Connection Survey,Very Unlikely,106 (4.5)
support_companies,How likely or unlikely is it that you would -  make a purchase decision based on the efforts of a business to get Canadians more socially connected?,Canadian Social Connection Survey,Neither likely or unlikely,610 (25.9)
support_companies,How likely or unlikely is it that you would -  make a purchase decision based on the efforts of a business to get Canadians more socially connected?,Canadian Social Connection Survey,Somewhat likely,845 (35.9)
support_companies,How likely or unlikely is it that you would -  make a purchase decision based on the efforts of a business to get Canadians more socially connected?,Canadian Social Connection Survey,Somewhat unlikely,237 (10.1)
support_companies,How likely or unlikely is it that you would -  make a purchase decision based on the efforts of a business to get Canadians more socially connected?,Canadian Social Connection Survey,Very likely,538 (22.8)
support_companies,How likely or unlikely is it that you would -  make a purchase decision based on the efforts of a business to get Canadians more socially connected?,Canadian Social Connection Survey,Very Unlikely,125 (5.3)
employment,Derrived Variable: Employment (based on hours worked),Derrived Variable,Full Time,490 (21.4)
employment,Derrived Variable: Employment (based on hours worked),Derrived Variable,No Work,403 (17.6)
employment,Derrived Variable: Employment (based on hours worked),Derrived Variable,Overtime,184 (8.0)
employment,Derrived Variable: Employment (based on hours worked),Derrived Variable,Part Time,1216 (53.0)
UCLA3Score,"Highes et al. (2004) A Short Scale for Measuring Loneliness in Large Surveys
",Derrived Variable,,5.55 (1.72)
UCLA3Score_groups,"Highes et al. (2004) A Short Scale for Measuring Loneliness in Large Surveys
",Derrived Variable,Lonely,1201 (49.5)
UCLA3Score_groups,"Highes et al. (2004) A Short Scale for Measuring Loneliness in Large Surveys
",Derrived Variable,Not Lonely,1226 (50.5)
SatisfactionScore,"On a scale of 1 to 10, How do you feel about your life as a whole right now?",Derrived Variable,,6.11 (2.39)
Satisfaction_Score_levels,"On a scale of 1 to 10, How do you feel about your life as a whole right now?",Derrived Variable,,6.11 (2.39)
BurnoutScore,"Malach-Pines, A. (2005). The Burnout Measure, Short Version.",Derrived Variable,,3.42 (1.10)
BurnoutScore_levels,"Malach-Pines, A. (2005). The Burnout Measure, Short Version.",Derrived Variable,,3.42 (1.10)
BurnoutScore_groups,"Malach-Pines, A. (2005). The Burnout Measure, Short Version.",Derrived Variable,,0.31 (0.46)
dejong_overall_score,"De Jong Gierveld (2010) The De Jong Gierveld short scales for emotional and social loneliness: tested on data from 7 countries in the UN generations and gender surveys
",Derrived Variable,,3.95 (1.61)
dejong_emotional_score,"De Jong Gierveld (2010) The De Jong Gierveld short scales for emotional and social loneliness: tested on data from 7 countries in the UN generations and gender surveys
",Derrived Variable,,2.19 (0.92)
dejong_social_score,"De Jong Gierveld (2010) The De Jong Gierveld short scales for emotional and social loneliness: tested on data from 7 countries in the UN generations and gender surveys
",Derrived Variable,,1.75 (1.15)
zimet_overall_score,Canty-Mitchell & Zimet (2000). Psychometric properties of the Multidimensional Scale of Perceived Social Support in urban adolescents.,Derrived Variable,,4.98 (1.11)
zimet_significant_other_score,Canty-Mitchell & Zimet (2000). Psychometric properties of the Multidimensional Scale of Perceived Social Support in urban adolescents.,Derrived Variable,,5.11 (1.32)
zimet_family_score,Canty-Mitchell & Zimet (2000). Psychometric properties of the Multidimensional Scale of Perceived Social Support in urban adolescents.,Derrived Variable,,4.90 (1.26)
zimet_friends_score,Canty-Mitchell & Zimet (2000). Psychometric properties of the Multidimensional Scale of Perceived Social Support in urban adolescents.,Derrived Variable,,4.93 (1.15)
zimet_overall_score_groups,Canty-Mitchell & Zimet (2000). Psychometric properties of the Multidimensional Scale of Perceived Social Support in urban adolescents.,Derrived Variable,high support,1037 (44.5)
zimet_overall_score_groups,Canty-Mitchell & Zimet (2000). Psychometric properties of the Multidimensional Scale of Perceived Social Support in urban adolescents.,Derrived Variable,low support,97 (4.2)
zimet_overall_score_groups,Canty-Mitchell & Zimet (2000). Psychometric properties of the Multidimensional Scale of Perceived Social Support in urban adolescents.,Derrived Variable,moderate support,1198 (51.4)
happiness_score,Lyubomirsky (1999). A measure of subjective happiness: Preliminary reliability and construct validation,Derrived Variable,,4.45 (1.17)
happiness_score_levels,Lyubomirsky (1999). A measure of subjective happiness: Preliminary reliability and construct validation,Derrived Variable,,4.45 (1.17)
depression_score,Kroenke (2003). The Patient Health Questionnaire-2: Validity of a Two-Item Depression Screener.,Derrived Variable,,2.04 (1.63)
depression_score_groups,Kroenke (2003). The Patient Health Questionnaire-2: Validity of a Two-Item Depression Screener.,Derrived Variable,Depressed,911 (37.6)
depression_score_groups,Kroenke (2003). The Patient Health Questionnaire-2: Validity of a Two-Item Depression Screener.,Derrived Variable,Not Depressed,1515 (62.4)
anxiety_score,"Kroenke (2007). Anxiety disorders in primary care: prevalence, impairment, comorbidity, and detection",Derrived Variable,,2.10 (1.62)
anxiety_score_groups,"Kroenke (2007). Anxiety disorders in primary care: prevalence, impairment, comorbidity, and detection",Derrived Variable,Anxious,953 (39.1)
anxiety_score_groups,"Kroenke (2007). Anxiety disorders in primary care: prevalence, impairment, comorbidity, and detection",Derrived Variable,Not Anxious,1483 (60.9)
sias_score,Gomez (2017). Confirmatory Factor Analysis of the Combined Social Phobia Scale and Social Interaction Anxiety Scale: Support for a Bifactor Model,Derrived Variable,,6.93 (5.15)
sias_score_groups,Gomez (2017). Confirmatory Factor Analysis of the Combined Social Phobia Scale and Social Interaction Anxiety Scale: Support for a Bifactor Model,Derrived Variable,Not Socially Anxious Anxious,1141 (48.2)
sias_score_groups,Gomez (2017). Confirmatory Factor Analysis of the Combined Social Phobia Scale and Social Interaction Anxiety Scale: Support for a Bifactor Model,Derrived Variable,Socially Anxious,1224 (51.8)
sps_score,Gomez (2017). Confirmatory Factor Analysis of the Combined Social Phobia Scale and Social Interaction Anxiety Scale: Support for a Bifactor Model,Derrived Variable,,6.41 (5.50)
sps_score_groups,Gomez (2017). Confirmatory Factor Analysis of the Combined Social Phobia Scale and Social Interaction Anxiety Scale: Support for a Bifactor Model,Derrived Variable,Not Socially Phobic,704 (29.3)
sps_score_groups,Gomez (2017). Confirmatory Factor Analysis of the Combined Social Phobia Scale and Social Interaction Anxiety Scale: Support for a Bifactor Model,Derrived Variable,Socially Phobic,1698 (70.7)
sias_sps_combo_score,Gomez (2017). Confirmatory Factor Analysis of the Combined Social Phobia Scale and Social Interaction Anxiety Scale: Support for a Bifactor Model,Derrived Variable,,13.30 (10.19)
discrimination_score,"Williams (1997). Racial Differences in Physical and Mental Health: Socioeconomic Status, Stress, and Discrimination",Derrived Variable,,24.86 (11.41)
horizontal_individualism_score,Triandis (1998). Converging measurement of horizontal and vertical individualism and collectivism.,Derrived Variable,,25.06 (7.05)
vertical_individualism_score,Triandis (1998). Converging measurement of horizontal and vertical individualism and collectivism.,Derrived Variable,,20.46 (7.25)
horizontal_collectivism_score,Triandis (1998). Converging measurement of horizontal and vertical individualism and collectivism.,Derrived Variable,,24.62 (6.85)
vertical_collectivism_score,Triandis (1998). Converging measurement of horizontal and vertical individualism and collectivism.,Derrived Variable,,24.04 (6.94)
tipi_extraversion_score,Gosling (2003). A Very Brief Measure of the Big Five Personality Domains,Derrived Variable,,7.92 (2.40)
tipi_agreeable_score,Gosling (2003). A Very Brief Measure of the Big Five Personality Domains,Derrived Variable,,9.55 (2.40)
tipi_conscientiousness_score,Gosling (2003). A Very Brief Measure of the Big Five Personality Domains,Derrived Variable,,9.49 (2.57)
tipi_emotional_stability_score,Gosling (2003). A Very Brief Measure of the Big Five Personality Domains,Derrived Variable,,8.78 (2.46)
tipi_openness_score,Gosling (2003). A Very Brief Measure of the Big Five Personality Domains,Derrived Variable,,9.10 (2.33)
existential_isolation_score,"Pinel (2017). A prisoner of one's own mind: Identifying and understanding existential isolation.
",Derrived Variable,,5.02 (1.13)
self_esteem_score,Lost Reference; A generic measure of self esteem and worth,Derrived Variable,,4.61 (0.99)
self_esteem_score_levels,Lost Reference; A generic measure of self esteem and worth,Derrived Variable,,4.61 (0.99)
attachment_secure_score,Iwanga (2018). Preliminary Validation of a Short-Form Version of the Attachment Style Questionnaire for Use in Clinical Rehabilitation Counseling Research and Practice.†,Derrived Variable,,15.86 (4.49)
attachment_anxious_score,Iwanga (2018). Preliminary Validation of a Short-Form Version of the Attachment Style Questionnaire for Use in Clinical Rehabilitation Counseling Research and Practice.†,Derrived Variable,,13.46 (4.57)
attachment_avoidant_score,Iwanga (2018). Preliminary Validation of a Short-Form Version of the Attachment Style Questionnaire for Use in Clinical Rehabilitation Counseling Research and Practice.†,Derrived Variable,,13.97 (4.44)
childhood_adult_relationship_score,Lost Reference; A generic measure of having a supportive parent when young.,Derrived Variable,,22.00 (6.04)
neighbourhood_satisfaction_scale,Lost Reference; A generic measure of neighbourhood cohesion,Derrived Variable,,25.54 (5.25)
neighbourhood_cohesion_score,Fone (2006) An econometric Analysis of Neighbourhood Cohesion,Derrived Variable,,47.72 (8.51)
age_groups,Derrived Variable: Age Groups,Derrived Variable,16 to 19 years,30 (1.2)
age_groups,Derrived Variable: Age Groups,Derrived Variable,20 to 24 years,238 (9.7)
age_groups,Derrived Variable: Age Groups,Derrived Variable,25 to 29 years,603 (24.6)
age_groups,Derrived Variable: Age Groups,Derrived Variable,30 to 34 years,440 (18.0)
age_groups,Derrived Variable: Age Groups,Derrived Variable,35 to 39 years,314 (12.8)
age_groups,Derrived Variable: Age Groups,Derrived Variable,40 to 44 years,136 (5.6)
age_groups,Derrived Variable: Age Groups,Derrived Variable,45 to 49 years,92 (3.8)
age_groups,Derrived Variable: Age Groups,Derrived Variable,50 to 54 years,102 (4.2)
age_groups,Derrived Variable: Age Groups,Derrived Variable,55 to 59 years,129 (5.3)
age_groups,Derrived Variable: Age Groups,Derrived Variable,60 to 64 years,120 (4.9)
age_groups,Derrived Variable: Age Groups,Derrived Variable,65 to 69 years,104 (4.2)
age_groups,Derrived Variable: Age Groups,Derrived Variable,70 to 74 years,88 (3.6)
age_groups,Derrived Variable: Age Groups,Derrived Variable,75 to 79 years,34 (1.4)
